"State, Party, Representative, PctPro_2021, PctPro_Lifetime"
"California, R, LaMalfa, 4, 2"
"California, D, Huffman, 100, 98"
"California, D, Garamendi, 100, 91"
"California, R, McClintock, 9, 4"
"California, D, Thompson, 100, 94"
"California, D, Matsui, 100, 97"
"California, D, Bera, 100, 94"
"California, R, Obernolte, 9, 9"
"California, D, McNerney, 100, 95"
"California, D, Harder, 100, 99"
"California, D, DeSaulnier, 100, 100"
"California, D, Pelosi, 100, 94"
"California, D, Lee, 100, 97"
"California, D, Speier, 96, 92"
"California, D, Swalwell, 100, 92"
"California, D, Costa, 96, 56"
"California, D, Khanna, 100, 99"
"California, D, Eshoo, 100, 97"
"California, D, Lofgren, 100, 92"
"California, D, Panetta, 100, 97"
"California, R, Valadao, 24, 7"
"California, R, Nunes, 9, 3"
"California, R, McCarthy, 13, 4"
"California, D, Carbajal, 100, 95"
"California, R, Garcia, 17, 19"
"California, D, Brownley, 100, 97"
"California, D, Chu, 100, 98"
"California, D, Schiff, 100, 98"
"California, D, Cardenas, 96, 88"
"California, D, Sherman, 100, 97"
"California, D, Aguilar, 100, 97"
"California, D, Napolitano, 100, 91"
"California, D, Lieu, 100, 92"
"California, D, Gomez, 100, 98"
"California, D, Torres, 100, 96"
"California, D, Ruiz, 100, 95"
"California, D, Bass, 100, 89"
"California, D, Sanchez, 96, 94"
"California, R, Kim, 23, 23"
"California, D, Roybal-Allard, 100, 96"
"California, D, Takano, 100, 99"
"California, R, Calvert, 13, 7"
"California, D, Waters, 100, 92"
"California, D, Barragan, 100, 98"
"California, D, Porter, 100, 96"
"California, D, Correa, 100, 94"
"California, D, Lowenthal, 100, 98"
"California, R, Steel, 10, 10"
"California, D, Levin, 100, 99"
"California, R, Issa, 9, 4"
"California, D, Vargas, 100, 96"
"California, D, Peters, 100, 94"
"California, D, Jacobs, 100, 100"
"New York, R, Zeldin, 17, 14"
"New York, R, Garbarino, 35, 35"
"New York, D, Suozzi, 100, 98"
"New York, D, Rice, 100, 94"
"New York, D, Meeks, 100, 90"
"New York, D, Meng, 100, 98"
"New York, D, Velazquez, 100, 95"
"New York, D, Jeffries, 100, 96"
"New York, D, Clarke, 100, 96"
"New York, D, Nadler, 100, 97"
"New York, R, Malliotakis, 13, 13"
"New York, D, Maloney, 100, 96"
"New York, D, Espaillat, 100, 99"
"New York, D, Ocasio-Cortez, 96, 96"
"New York, D, Torres, 100, 100"
"New York, D, Bowman, 100, 100"
"New York, D, Jones, 100, 100"
"New York, D, Maloney, 96, 91"
"New York, D, Delgado, 100, 99"
"New York, D, Tonko, 100, 98"
"New York, R, Stefanik, 13, 35"
"New York, R, Tenney, 10, 7"
"New York, R, Reed, 30, 14"
"New York, R, Katko, 43, 35"
"New York, D, Morelle, 100, 96"
"New York, D, Higgins, 100, 95"
"New York, R, Jacobs, 22, 25"
"Florida, R, Gaetz, 13, 12"
"Florida, R, Dunn, 13, 6"
"Florida, R, Cammack, 0, 0"
"Florida, R, Rutherford, 4, 8"
"Florida, D, Lawson, 100, 89"
"Florida, R, Waltz, 17, 23"
"Florida, D, Murphy, 96, 92"
"Florida, R, Posey, 13, 7"
"Florida, D, Soto, 100, 99"
"Florida, D, Demings, 100, 97"
"Florida, R, Webster, 9, 6"
"Florida, R, Bilirakis, 14, 10"
"Florida, D, Crist, 100, 94"
"Florida, D, Castor, 100, 94"
"Florida, R, Franklin, 9, 9"
"Florida, R, Buchanan, 17, 23"
"Florida, R, Steube, 0, 3"
"Florida, R, Mast, 17, 27"
"Florida, R, Donalds, 4, 4"
"Florida, D, Hastings, 100, 85"
"Florida, D, Frankel, 100, 98"
"Florida, D, Deutch, 100, 92"
"Florida, D, Wasserman Schultz, 100, 94"
"Florida, D, Wilson, 100, 92"
"Florida, R, Diaz-Balart, 17, 13"
"Florida, R, Giménez, 17, 17"
"Florida, R, Salazar, 19, 19"
"Alabama, R, Carl, 4, 4"
"Alabama, R, Moore, 4, 4"
"Alabama, R, Rogers, 9, 6"
"Alabama, R, Aderholt, 4, 3"
"Alabama, R, Brooks, 4, 7"
"Alabama, R, Palmer, 4, 1"
"Alabama, D, Sewell, 100, 82"
"Hawaii, D, Case, 100, 96"
"Hawaii, D, Kahele, 100, 100"
"Missouri, D, Bush, 100, 100"
"Missouri, R, Wagner, 22, 6"
"Missouri, R, Luetkemeyer, 9, 4"
"Missouri, R, Hartzler, 9, 3"
"Missouri, D, Cleaver, 100, 89"
"Missouri, R, Graves, 9, 4"
"Missouri, R, Long, 9, 3"
"Missouri, R, Smith, 9, 2"
"Tennessee, R, Harshbarger, 0, 0"
"Tennessee, R, Burchett, 0, 7"
"Tennessee, R, Fleischmann, 9, 4"
"Tennessee, R, DesJarlais, 9, 3"
"Tennessee, D, Cooper, 100, 84"
"Tennessee, R, Rose, 4, 5"
"Tennessee, R, Green, 0, 1"
"Tennessee, R, Kustoff, 13, 6"
"Tennessee, D, Cohen, 100, 97"
